Tycho Brahe's Mars Observations																			
Source: Tychonis Brahe Dani Opera Omnia																			
"Imput by: Wayne Pafko (March 24, 2000)"							Brahe's Declination Data Converted to Numbers							1582.89					
"[MS] = Mars Symbol (you know…the ""male"" sign)"							(not adjusted to current dates)												
																			
Year	Day	Time	Quote	Volume	Page		Year	Month	Day	Day (adj)	Hour	Min	Days since 1 AD	Date		Dec (deg)	Dec (min)	Dec (sec)	Declination
1582	"DIE 12 NOUEMBRIS, MANE."		Declinatio [MS]  23  7 B	10	174		1582	11	12	22			578150.50	1582.89	1.00	23	7		23.12
1582	DIE 30 DECEMBRIS		Afc. R. [MS]  107o  56'  Declin. 26o  36' B.	10	197		1582	12	30	40			578198.50	1583.02	1.00	26	56		26.93
1582	DIE 27 DECEMBRIS		declinatio [MS] 26o  22 1/3' et Afcenfio Recta [MS] 109o  30 1/3'	10	200		1582	12	27	37			578195.50	1583.01	1.00	26	22	20	26.37
1583	"DIE 18 JANUARIJ, VESPERI."		Declinatio 27  18 minus bona	10	244		1583	1	18	28			578217.50	1583.07	1.00	27	18		27.30
1584	"DIE 13 NOUEMBRIS, A.M."	H.13 26 P.M.	Declinatio [MS] B.  15  54	10	321		1584	11	13	23	13	26	578883.06	1584.90	1.00	15	54		15.90
1584	DIE 27 NOUEMBRIS	H.2 15'	Declinatio [MS]  14  42	10	322		1584	11	27	37	2	15	578896.59	1584.93	1.00	14	42		14.70
1584	DIE 20 DECEMBRIS AD VESPERAS.		Decl. [MS] (erat prope horizont.) 14  24	10	322		1584	12	20	30			578919.50	1585.00	1.00	14	24		14.40
1584	DIE 21 DECEMBRIS AD VESPERAS.		Declinatio [MS]  14  21 1/2	10	322		1584	12	21	31			578920.50	1585.00	1.00	14	21	30	14.36
1584	DIE 21 DECEMBRIS AD VESPERAS.		Declinatio [MS]  14  21 1/4	10	322		1584	12	21	31			578920.50	1585.00	1.00	14	21	15	14.35
1585	DIE 7 JANUARIJ.		Declin. [MS]  I  15  35    II  15  35	10	382		1585	1	7	17			578937.50	1585.04	1.00	15	35		15.58
1585	DIE 9 JANUARIJ.	A.M.	Decl. [MS]  15  50 per Arm. Bor.	10	383		1585	1	9	19			578939.50	1585.05	1.00	15	50		15.83
1585	Die 14 Januarij	H. 16 M. 40 P.M.	Decl. eius B. 16  27	10	384		1585	1	14	24	16	40	578945.19	1585.07	1.00	16	27		16.45
1585	Die 22 Jan.	H.14 55 P.M.	Decl. [MS] B.  17  31  0	10	388		1585	1	22	32	14	55	578953.12	1585.09	1.00	17	31		17.52
1585	Die 31 Jan. circa mediam noctem.		Decl. [MS] Sept.  18  43  0	10	388		1585	1	31	41			578961.50	1585.11	1.00	18	43		18.72
1585	DIE 3 FEBRUARIJ.	H.9 M.43	Decl. [MS] fept.  19  1 1/6 per Armillas Auftrales.	10	389		1585	2	3	13	9	43	578964.90	1585.12	1.00	19	1	10	19.02
1585	DIE 3 FEBRUARIJ.	H.9 M.39	Declinatio [MS] per Armillas Boreales  19 3	10	389		1585	2	3	13	9	39	578964.90	1585.12	1.00	19	3		19.05
1585	Die 3 Feb.	H. 6 1/4 P.M.	Declinatio [MS]  19  2  0	10	389		1585	2	3	13	6	15	578964.76	1585.12	1.00	19	2		19.03
1585	DIE 4 FEBRUARIJ.	H.9 M.14	Decl. [MS] fept.  19  9 3/4 per Armillas Boreales.	10	389		1585	2	4	14	9	14	578965.88	1585.12	1.00	19	9	45	19.16
1585	DIE 4 FEBRUARIJ.	H.8 M.16	Decl. [MS]  19  8 per Armilas Auftrales.	10	389		1585	2	4	14	8	16	578965.84	1585.12	1.00	19	8		19.13
1585	DIE 4 FEBRUARIJ.	H.6.40 P.M.	Decl. [MS] B.  19  9  45.	10	389		1585	2	4	14	6	40	578965.78	1585.12	1.00	19	9	45	19.16
1585	DIE 17 FEBRUARIJ.	H.9.45	Decl. [MS]  20  21  45	10	391		1585	2	17	27	9	45	578978.91	1585.16	1.00	20	21	45	20.36
1585	DIE 17 FEBRUARIJ.	H. 9 1/2	Decl. [MS]  20  21 1/2	10	392		1585	2	17	27	9	30	578978.90	1585.16	1.00	20	21	30	20.36
1585	DIE 17 FEBRUARIJ.	H. 9 5/6	Decl. [MS]  20  21 1/2 B.	10	392		1585	2	17	27	9	50	578978.91	1585.16	1.00	20	21	30	20.36
1585	Die 12 Martij	H. 9 1/3 P.M.	Declinatio [MS] B.  20  32 3/4	10	397		1585	3	12	22	9	20	579001.89	1585.22	1.00	20	32	45	20.55
1585	Die 16 Martij	H. 7 5/6	Declin. [MS] B.  20  23  0	10	397		1585	3	16	26	7	50	579005.83	1585.23	1.00	20	23		20.38
1585	Die 19 Marij	H. 8 1/4	Declin. [MS]  20  5  30	10	397		1585	3	19	29	8	15	579008.84	1585.24	1.00	20	5	30	20.09
1585	DIE 26 MARTIJ.	H. 8 1/3 P.M.	Declinatio [MS] B.  19  44  0	10	398		1585	3	26	36	8	20	579015.85	1585.26	1.00	19	44	0	19.73
1585	DIE 15 APRILIS.	H. 9 48'	Decl. [MS] Bor.  17o  38 2/3'.	10	398		1585	4	15	25	9	48	579035.91	1585.31	1.00	17	38	40	17.64
1585	Die 15 Aprils	H. 9 50	Declin. [MS] B.  17  38 3/4	10	399		1585	4	15	25	9	50	579035.91	1585.31	1.00	17	38	45	17.65
